"Statistic","CensusYear","Sex","Age Last Birthday","At Each Year of Age","UNIT","VALUE"
"Population 2011 to 2016","2011","Both sexes","All ages","Population","Number","4588252"
"Population 2011 to 2016","2011","Both sexes","All ages","Population at or under this age","Number","4588252"
"Population 2011 to 2016","2011","Both sexes","All ages","Population at or over this age","Number","4588252"
"Population 2011 to 2016","2011","Both sexes","Under 1 year","Population","Number","72410"
"Population 2011 to 2016","2011","Both sexes","Under 1 year","Population at or under this age","Number","72410"
"Population 2011 to 2016","2011","Both sexes","Under 1 year","Population at or over this age","Number","4588252"
"Population 2011 to 2016","2011","Both sexes","1 year","Population","Number","72645"
"Population 2011 to 2016","2011","Both sexes","1 year","Population at or under this age","Number","145055"
"Population 2011 to 2016","2011","Both sexes","1 year","Population at or over this age","Number","4515842"
"Population 2011 to 2016","2011","Both sexes","2 years","Population","Number","72566"
"Population 2011 to 2016","2011","Both sexes","2 years","Population at or under this age","Number","217621"
"Population 2011 to 2016","2011","Both sexes","2 years","Population at or over this age","Number","4443197"
"Population 2011 to 2016","2011","Both sexes","3 years","Population","Number","71457"
"Population 2011 to 2016","2011","Both sexes","3 years","Population at or under this age","Number","289078"
"Population 2011 to 2016","2011","Both sexes","3 years","Population at or over this age","Number","4370631"
"Population 2011 to 2016","2011","Both sexes","4 years","Population","Number","67251"
"Population 2011 to 2016","2011","Both sexes","4 years","Population at or under this age","Number","356329"
"Population 2011 to 2016","2011","Both sexes","4 years","Population at or over this age","Number","4299174"
"Population 2011 to 2016","2011","Both sexes","5 years","Population","Number","64937"
"Population 2011 to 2016","2011","Both sexes","5 years","Population at or under this age","Number","421266"
"Population 2011 to 2016","2011","Both sexes","5 years","Population at or over this age","Number","4231923"
"Population 2011 to 2016","2011","Both sexes","6 years","Population","Number","64976"
"Population 2011 to 2016","2011","Both sexes","6 years","Population at or under this age","Number","486242"
"Population 2011 to 2016","2011","Both sexes","6 years","Population at or over this age","Number","4166986"
"Population 2011 to 2016","2011","Both sexes","7 years","Population","Number","64441"
"Population 2011 to 2016","2011","Both sexes","7 years","Population at or under this age","Number","550683"
"Population 2011 to 2016","2011","Both sexes","7 years","Population at or over this age","Number","4102010"
"Population 2011 to 2016","2011","Both sexes","8 years","Population","Number","63816"
"Population 2011 to 2016","2011","Both sexes","8 years","Population at or under this age","Number","614499"
"Population 2011 to 2016","2011","Both sexes","8 years","Population at or over this age","Number","4037569"
"Population 2011 to 2016","2011","Both sexes","9 years","Population","Number","62600"
"Population 2011 to 2016","2011","Both sexes","9 years","Population at or under this age","Number","677099"
"Population 2011 to 2016","2011","Both sexes","9 years","Population at or over this age","Number","3973753"
"Population 2011 to 2016","2011","Both sexes","10 years","Population","Number","61429"
"Population 2011 to 2016","2011","Both sexes","10 years","Population at or under this age","Number","738528"
"Population 2011 to 2016","2011","Both sexes","10 years","Population at or over this age","Number","3911153"
"Population 2011 to 2016","2011","Both sexes","11 years","Population","Number","60834"
"Population 2011 to 2016","2011","Both sexes","11 years","Population at or under this age","Number","799362"
"Population 2011 to 2016","2011","Both sexes","11 years","Population at or over this age","Number","3849724"
"Population 2011 to 2016","2011","Both sexes","12 years","Population","Number","61234"
"Population 2011 to 2016","2011","Both sexes","12 years","Population at or under this age","Number","860596"
"Population 2011 to 2016","2011","Both sexes","12 years","Population at or over this age","Number","3788890"
"Population 2011 to 2016","2011","Both sexes","13 years","Population","Number","59992"
"Population 2011 to 2016","2011","Both sexes","13 years","Population at or under this age","Number","920588"
"Population 2011 to 2016","2011","Both sexes","13 years","Population at or over this age","Number","3727656"
"Population 2011 to 2016","2011","Both sexes","14 years","Population","Number","59002"
"Population 2011 to 2016","2011","Both sexes","14 years","Population at or under this age","Number","979590"
"Population 2011 to 2016","2011","Both sexes","14 years","Population at or over this age","Number","3667664"
"Population 2011 to 2016","2011","Both sexes","15 years","Population","Number","57227"
"Population 2011 to 2016","2011","Both sexes","15 years","Population at or under this age","Number","1036817"
"Population 2011 to 2016","2011","Both sexes","15 years","Population at or over this age","Number","3608662"
"Population 2011 to 2016","2011","Both sexes","16 years","Population","Number","56005"
"Population 2011 to 2016","2011","Both sexes","16 years","Population at or under this age","Number","1092822"
